"address","categoryId","city","contactPhone","country","createdAt","description","evidence","geo","id","images","kind","location","locationGranularity","name","price","promotionTier","remote","salary","source","sourceUrl","sponsoredUntil","state","subtype","tags","title","type","updatedAt","website"
"2434 18th Street NW","","Washington","202-462-4100","USA","","","Meskerem 2434 18th Street NW, Washington, DC 20009 202-462 4100 www.meskeremethiopianrestaurantdc.com","{""formatted_address"":{""S"":""2434 18th St NW, Washington, DC 20009, USA""},""location_type"":{""S"":""ROOFTOP""},""granularity"":{""S"":""street""},""geocoded_from"":{""S"":""2434 18th Street NW, Washington, DC, USA""}}","meskerem-washington-dc-ethiopian-b6fbea387a1cfcac","[]","place","{""lat"":{""N"":""38.9214802""},""lon"":{""N"":""-77.04264739999999""}}","street","Meskerem","N/A","",false,"N/A","openai_web_search+google_geocode","https://oaa.dc.gov/sites/default/files/dc/sites/oaa/page_content/attachments/Africancomp.pdf","","DC","Ethiopian","[{""S"":""Ethiopian restaurant""},{""S"":""Washington DC""}]","Ethiopian Restaurant","restaurant","2025-12-19T01:27:45.359330+00:00","https://www.meskeremethiopianrestaurantdc.com"
"On Bole Road near Wollo Sefer Junction","restaurants","Addis Ababa","+251 11 618 8888","Ethiopia","","","Habesha Restaurant offers diners an authentic Ethiopian meal, where they will sit on wooden stools around a mesop (Ethiopian dinner table).","{""formatted_address"":{""S"":""Africa Ave, Addis Ababa, Ethiopia""},""location_type"":{""S"":""GEOMETRIC_CENTER""}}","habesha-restaurant-addis-ababa-addis-ababa-ethiopian-0dd5c67053a7a49d","[]","","{""lat"":{""N"":""8.9933434""},""lon"":{""N"":""38.7753464""}}","","Habesha Restaurant","","","","","openai_web_search+google_geocode","https://pressfolios-production.s3.amazonaws.com/uploads/story/story_pdf/59482/594821390286018MdrNORGTU64yzhRLpEpn.pdf","","Addis Ababa","Ethiopian","[{""S"":""Ethiopian""},{""S"":""Habesha""}]","","restaurant","2025-12-19T17:55:50.147486+00:00","https://www.yodabyssinia.com/"
"Washington, DC","services","Washington","301-244-8174","USA","","","LAW OFFICES OF SEIFE LEMMA
See More info Here","{""formatted_address"":{""S"":""Washington, DC, USA""},""location_type"":{""S"":""APPROXIMATE""}}","law-offices-of-seife-lemma-washington-dc-ethiopian-76dfd7dee0f8642e","[]","","{""lat"":{""N"":""38.9071923""},""lon"":{""N"":""-77.0368707""}}","","Law Offices of Seife Lemma","","","","","openai_web_search+google_geocode","https://habeshayellowpages.com/listings/ethiopian-lawyers-near-me/","","DC","Ethiopian","[{""S"":""lawyer""},{""S"":""Ethiopian""}]","","lawyer","2025-12-19T18:02:32.804515+00:00","https://habeshayellowpages.com/listings/ethiopian-lawyers-near-me/"
"Washington, DC","services","Washington","Not provided","USA","","","""Mikre Ayele"" listed under Ethiopian Lawyers Near Me.","{""formatted_address"":{""S"":""Washington, DC, USA""},""location_type"":{""S"":""APPROXIMATE""}}","mikre-ayele-washington-dc-lawyer-73f2478c07dd6752","[]","","{""lat"":{""N"":""38.9071923""},""lon"":{""N"":""-77.0368707""}}","","Mikre Ayele","","","","","openai_web_search+google_geocode","https://habeshayellowpages.com/listings/ethiopian-lawyers-near-me/","","DC","lawyer","[{""S"":""lawyer""},{""S"":""Ethiopian""}]","","business","2025-12-19T18:03:39.471628+00:00","https://habeshayellowpages.com/listings/ethiopian-lawyers-near-me/"
"","markets","","","","2025-12-23T21:53:25.427338+00:00","","","","4d5af00a-a792-4dc9-b809-9b261765e6a2","","","","","abc","","",false,"","","","","","","","","","2025-12-23T21:53:25.427338+00:00",""
"Behind the Main Post Office","restaurants","Addis Ababa","+251 11 552 9746","Ethiopia","","","Dashen Restaurant is a popular Ethiopian restaurant located behind the Main Post Office in Addis Ababa, known for its Melasse tibs and live music on weekend nights.","{""formatted_address"":{""S"":""Addis Ababa, Ethiopia""},""location_type"":{""S"":""APPROXIMATE""}}","dashen-restaurant-addis-ababa-addis-ababa-ethiopian-2b84163d7c055864","[]","","{""lat"":{""N"":""9.0191936""},""lon"":{""N"":""38.7524635""}}","","Dashen Restaurant","","","","","openai_web_search+google_geocode","https://www.icwe-secretariat.com/files/eLA15/Restaurants_and_social_events.pdf","","Addis Ababa","Ethiopian","[{""S"":""Ethiopian""},{""S"":""Addis Ababa""}]","","restaurant","2025-12-19T17:55:05.240979+00:00","https://www.dashenrestaurant.com"
"Bole, K03/05","restaurants","Addis Ababa","+251 11 661 2176","Ethiopia","","","2000 Habesha Cultural Restaurant is along the city’s main road, Bole, and is situated in a tukul, a traditional hut with low wooden tables.","{""formatted_address"":{""S"":""Bole, Addis Ababa, Ethiopia""},""location_type"":{""S"":""APPROXIMATE""}}","2000-habesha-cultural-restaurant-addis-ababa-addis-ababa-ethiopian-0dabfe08162b93c7","[]","","{""lat"":{""N"":""8.9831138""},""lon"":{""N"":""38.8100855""}}","","2000 Habesha Cultural Restaurant","","","","","openai_web_search+google_geocode","https://www.icwe-secretariat.com/files/eLA15/Restaurants_and_social_events.pdf","","Addis Ababa","Ethiopian","[{""S"":""Ethiopian""}]","","restaurant","2025-12-19T17:55:29.017166+00:00","https://www.2000habesha.com"
"2413 Northeast Martin Luther King Jr. Boulevard","restaurants","Portland","(503) 287-2000","USA","","","Address: 2413 Northeast Martin Luther King Jr. Boulevard, Portland, OR 97208","{""formatted_address"":{""S"":""2413 NE Martin Luther King Jr Blvd, Portland, OR 97212, USA""},""location_type"":{""S"":""ROOFTOP""}}","queen-of-sheba-portland-or-ethiopian-3109db07e02596aa","[]","","{""lat"":{""N"":""45.54026469999999""},""lon"":{""N"":""-122.6618327""}}","","Queen of Sheba","","","","","openai_web_search+google_geocode","https://queenofsheba.biz","","OR","Ethiopian","[{""S"":""Ethiopian""},{""S"":""Eritrean""},{""S"":""Habesha""}]","","restaurant","2025-12-19T17:55:37.619757+00:00","https://queenofsheba.biz"
"Washington, DC","services","Washington","301-244-8174","USA","","","LAW OFFICE OF KEBERE ASSEFA
See More info Here","{""formatted_address"":{""S"":""Washington, DC, USA""},""location_type"":{""S"":""APPROXIMATE""}}","law-office-of-kebere-assefa-washington-dc-ethiopian-87a3739ee0effab7","[]","","{""lat"":{""N"":""38.9071923""},""lon"":{""N"":""-77.0368707""}}","","Law Office of Kebere Assefa","","","","","openai_web_search+google_geocode","https://habeshayellowpages.com/listings/ethiopian-lawyers-near-me/","","DC","Ethiopian","[{""S"":""lawyer""},{""S"":""Ethiopian""}]","","lawyer","2025-12-19T18:02:33.161821+00:00","https://habeshayellowpages.com/listings/ethiopian-lawyers-near-me/"
"2147 P Street NW","","Washington","202-775-1882","USA","","","Marrakesh P Restaurant 2147 P Street NW, Washington, DC 20037 202-775-1882 www.marrakeshpstreetdc.com","{""formatted_address"":{""S"":""2147 P St NW, Washington, DC 20037, USA""},""location_type"":{""S"":""ROOFTOP""},""granularity"":{""S"":""street""},""geocoded_from"":{""S"":""2147 P Street NW, Washington, DC, USA""}}","marrakesh-p-restaurant-washington-dc-ethiopian-23b2ffc036969290","[]","place","{""lat"":{""N"":""38.909831""},""lon"":{""N"":""-77.04820939999999""}}","street","Marrakesh P Restaurant","N/A","",false,"N/A","openai_web_search+google_geocode","https://oaa.dc.gov/sites/default/files/dc/sites/oaa/page_content/attachments/Africancomp.pdf","","DC","Ethiopian","[{""S"":""Ethiopian restaurant""},{""S"":""Washington DC""}]","Ethiopian Restaurant","restaurant","2025-12-19T01:27:45.146439+00:00","https://www.marrakeshpstreetdc.com"
"Washington, DC","services","Washington","Not provided","USA","","","""Law Office of Alan Gudeta"" listed under Ethiopian Lawyers Near Me.","{""formatted_address"":{""S"":""Washington, DC, USA""},""location_type"":{""S"":""APPROXIMATE""}}","law-office-of-alan-gudeta-washington-dc-lawyer-a48aab557e694355","[]","","{""lat"":{""N"":""38.9071923""},""lon"":{""N"":""-77.0368707""}}","","Law Office of Alan Gudeta","","","","","openai_web_search+google_geocode","https://habeshayellowpages.com/listings/ethiopian-lawyers-near-me/","","DC","lawyer","[{""S"":""lawyer""},{""S"":""Ethiopian""}]","","business","2025-12-19T18:03:39.250581+00:00","https://habeshayellowpages.com/listings/ethiopian-lawyers-near-me/"
"","events","","","","2025-12-23T21:54:01.938474+00:00","","","","6cd0f4e4-bfd6-4983-b517-8a2cde24aa83","","","","","00aabc","","",false,"","","","","","","","","","2025-12-23T21:54:01.938474+00:00",""
"Chilga, Ethiopia","jobs","Chilga","N/A","Ethiopia","","","Ethiopia Job Deadline: 02/12/2025

Sponsorship Officer

Full time

Company: World Vision Ethiopia

Location: Chilga, Ethiopia

Open Position: N/A

Experience: 3+ years of relevant work experience

Education: BA/BSc in De","{""formatted_address"":{""S"":""Aykel, Ethiopia""},""location_type"":{""S"":""APPROXIMATE""},""granularity"":{""S"":""city""},""geocoded_from"":{""S"":""Chilga, Amhara, Ethiopia""}}","world-vision-ethiopia-chilga-amhara-full-time-fdd64f0c1fac77a5","[]","job","{""lat"":{""N"":""12.549473""},""lon"":{""N"":""37.0639876""}}","city","World Vision Ethiopia","N/A","",false,"N/A","openai_web_search+google_geocode","https://hagerejobs.com/ethiopia-job/","","Amhara","Full-time","[{""S"":""World Vision Ethiopia""},{""S"":""Sponsorship Officer""},{""S"":""Full-time""},{""S"":""Chilga""},{""S"":""Ethiopia""}]","Sponsorship Officer","job","2025-12-19T17:51:23.368705+00:00","https://hagerejobs.com/ethiopia-job/"
"1780 Florida Avenue NW","","Washington","202-265-5764","USA","","","Keren Restaurant 1780 Florida Avenue NW, Washington, DC 20009 202-265 5764","{""formatted_address"":{""S"":""1780 Florida Ave NW, Washington, DC 20009, USA""},""location_type"":{""S"":""ROOFTOP""},""granularity"":{""S"":""street""},""geocoded_from"":{""S"":""1780 Florida Avenue NW, Washington, DC, USA""}}","keren-restaurant-washington-dc-ethiopian-73534c2b07abf6f4","[]","place","{""lat"":{""N"":""38.9167831""},""lon"":{""N"":""-77.0412731""}}","street","Keren Restaurant","N/A","",false,"N/A","openai_web_search+google_geocode","https://oaa.dc.gov/sites/default/files/dc/sites/oaa/page_content/attachments/Africancomp.pdf","","DC","Ethiopian","[{""S"":""Ethiopian restaurant""},{""S"":""Washington DC""}]","Ethiopian Restaurant","restaurant","2025-12-19T01:27:44.477822+00:00","N/A"
"Washington, DC","services","Washington","301-244-8174","USA","","","LAW OFFICES OF MELES & ASSOCIATES
See More info Here","{""formatted_address"":{""S"":""Washington, DC, USA""},""location_type"":{""S"":""APPROXIMATE""}}","law-offices-of-meles-associates-washington-dc-ethiopian-a13c4c7da79cd62d","[]","","{""lat"":{""N"":""38.9071923""},""lon"":{""N"":""-77.0368707""}}","","Law Offices of Meles & Associates","","","","","openai_web_search+google_geocode","https://habeshayellowpages.com/listings/ethiopian-lawyers-near-me/","","DC","Ethiopian","[{""S"":""lawyer""},{""S"":""Ethiopian""}]","","lawyer","2025-12-19T18:02:32.718604+00:00","https://habeshayellowpages.com/listings/ethiopian-lawyers-near-me/"
"Kassanchis Road behind Bekelesh Kitfo Bete","restaurants","Addis Ababa","+251 11 618 2816","Ethiopia","","","Yohannes Kitfo Bet is a traditional Ethiopian restaurant located in Addis Ababa, known for its specialty dish, Kitfo.","{""formatted_address"":{""S"":""Kazanchis, Addis Ababa, Ethiopia""},""location_type"":{""S"":""APPROXIMATE""}}","yohannes-kitfo-bet-addis-ababa-addis-ababa-ethiopian-c3a3095ff38dec8c","[]","","{""lat"":{""N"":""9.0165737""},""lon"":{""N"":""38.7760791""}}","","Yohannes Kitfo Bet","","","","","openai_web_search+google_geocode","https://www.icwe-secretariat.com/files/eLA15/Restaurants_and_social_events.pdf","","Addis Ababa","Ethiopian","[{""S"":""Ethiopian""},{""S"":""Addis Ababa""}]","","restaurant","2025-12-19T17:55:05.064668+00:00","https://www.yohanneskitfobet.com"
"Washington, DC","services","Washington","Not provided","USA","","","""Fayad & Associates"" listed under Ethiopian Lawyers Near Me.","{""formatted_address"":{""S"":""Washington, DC, USA""},""location_type"":{""S"":""APPROXIMATE""}}","fayad-associates-washington-dc-lawyer-7f06d31b74ef6fef","[]","","{""lat"":{""N"":""38.9071923""},""lon"":{""N"":""-77.0368707""}}","","Fayad & Associates","","","","","openai_web_search+google_geocode","https://habeshayellowpages.com/listings/ethiopian-lawyers-near-me/","","DC","lawyer","[{""S"":""lawyer""},{""S"":""Ethiopian""}]","","business","2025-12-19T18:03:39.398315+00:00","https://habeshayellowpages.com/listings/ethiopian-lawyers-near-me/"
"5904 S. Cooper St.","restaurants","Arlington","(817) 555-3456","United States","","","Smoke'N Ash BBQ is a barbecue restaurant in Arlington, Texas.","{""formatted_address"":{""S"":""5904 S Cooper St, Arlington, TX 76017, USA""},""location_type"":{""S"":""ROOFTOP""}}","smoke-n-ash-bbq-arlington-texas-ethiopian-b8a3b9b6e86bd5d7","[]","","{""lat"":{""N"":""32.651306""},""lon"":{""N"":""-97.1358535""}}","","Smoke'N Ash BBQ","","","","","openai_web_search+google_geocode","https://en.wikipedia.org/wiki/Smoke%27N_Ash_BBQ","","Texas","Ethiopian","[{""S"":""Ethiopian""},{""S"":""Barbecue""}]","","restaurant","2025-12-19T17:55:28.634326+00:00","https://smokenashbbq.net"
"3506 International Drive Northwest","events","Washington","202-364-1200","United States","","","The International Club of DC and event sponsors, Bruce McBarnette and the Ivy Social Club with the cooperation of the Embassy of Ethiopia, cordially requests the pleasure of your company for a very special evening at the","{""formatted_address"":{""S"":""3506 International Dr NW, Washington, DC 20008, USA""},""location_type"":{""S"":""ROOFTOP""}}","embassy-of-ethiopia-evening-of-ethiopian-culture-cuisine-music-and-dance-washington-district-of-columbia-cultural-f5f8a6b7c4a53eb4","[]","","{""lat"":{""N"":""38.9412212""},""lon"":{""N"":""-77.06685519999999""}}","","Embassy of Ethiopia Evening of Ethiopian Culture, Cuisine, Music, and Dance","","","","","openai_web_search+google_geocode","https://www.simpletix.com/e/embassy-of-ethiopia-evening-of-ethiopian-c-tickets-223856","","District of Columbia","cultural","[{""S"":""Ethiopian""},{""S"":""cultural event""},{""S"":""Washington DC""}]","","event","2025-12-19T17:59:16.689594+00:00","https://www.simpletix.com/e/embassy-of-ethiopia-evening-of-ethiopian-c-tickets-223856"
"","rentals","","","","2025-12-23T20:27:17.763351+00:00","","","","92be4bde-68ab-4881-b363-dbf16b53757f","","","","","Test Listing","","",false,"","","","","","","","","","2025-12-23T20:27:17.763351+00:00",""
"46 Whitney Avenue","restaurants","New Haven","(203) 555-6789","USA","","","Habesha Ethiopian Restaurant opened on Whitney Avenue, bringing a second Ethiopian restaurant to downtown New Haven.","{""formatted_address"":{""S"":""46 Whitney Ave, New Haven, CT 06510, USA""},""location_type"":{""S"":""ROOFTOP""}}","habesha-ethiopian-restaurant-new-haven-ct-ethiopian-93742e8701895539","[]","","{""lat"":{""N"":""41.3118911""},""lon"":{""N"":""-72.9224645""}}","","Habesha Ethiopian Restaurant","","","","","openai_web_search+google_geocode","https://www.nhregister.com/news/article/habesha-ethiopian-restaurant-new-haven-19854422.php","","CT","Ethiopian","[{""S"":""Ethiopian""},{""S"":""Habesha""}]","","restaurant","2025-12-19T17:55:49.828913+00:00","https://habesha-restaurant.com/"
"5210 Rainier Ave S","restaurants","Seattle","(206) 723-2000","USA","","","Habesha Cafe of Hillman City. We are Seattle’s go-to spot for delicious Eritrean & Ethiopian food, a warm community spirit, and a family-friendly environment where all are welcome.","{""formatted_address"":{""S"":""5210 Rainier Ave S, Seattle, WA 98118, USA""},""location_type"":{""S"":""RANGE_INTERPOLATED""}}","habesha-cafe-seattle-wa-ethiopian-d14d2eeac56349db","[]","","{""lat"":{""N"":""47.5557707""},""lon"":{""N"":""-122.2829435""}}","","Habesha Cafe","","","","","openai_web_search+google_geocode","https://habesha.cafe/","","WA","Ethiopian","[{""S"":""Ethiopian""},{""S"":""Eritrean""},{""S"":""Seattle""}]","","restaurant","2025-12-19T17:55:03.722238+00:00","https://habesha.cafe/"
"Alexandria, Virginia","rentals","Alexandria","15712767956","USA","","","Experience a home that embraces Ethiopian culture and community! This spacious and welcoming rental is perfect for families or individuals seeking a comfortable, culturally inspired living space in the DMV area.","{""formatted_address"":{""S"":""Alexandria, VA, USA""},""location_type"":{""S"":""APPROXIMATE""},""granularity"":{""S"":""city""},""geocoded_from"":{""S"":""Alexandria, VA, USA""}}","ethiopian-habesha-house-for-rent-in-the-dmv-area-alexandria-va-house-fae378890f466616","[]","rental","{""lat"":{""N"":""38.804693""},""lon"":{""N"":""-77.0435257""}}","street","Ethiopian Habesha House for Rent in the DMV Area","63,291 Br / month","",false,"","openai_web_search+google_geocode","https://shegahome.com/properties/ethiopian-habesha-house-for-rent-in-the-dmv-area-washington-dc-maryland-virginia","","VA","house","[{""S"":""Ethiopian""},{""S"":""Habesha""},{""S"":""house for rent""},{""S"":""DMV area""},{""S"":""Alexandria VA""}]","Ethiopian Habesha House for Rent in the DMV Area","house","2025-12-19T17:53:35.538337+00:00","https://shegahome.com/properties/ethiopian-habesha-house-for-rent-in-the-dmv-area-washington-dc-maryland-virginia"
"","rentals","","","","","","Addis Market: Your Premier Online Marketplace in Addis Ababa","{""formatted_address"":{""S"":""""},""location_type"":{""S"":""""},""granularity"":{""S"":""remote""}}","addis-market-habesha-online-marketplace-unknown-unknown-marketplace-511052c1362b0c79","[]","rental","","remote","Addis Market Habesha Online Marketplace","","",true,"","openai_web_search+google_geocode","https://habeshalink.com/listings/addis-market-habesha-online-marketplace/","","","marketplace","[{""S"":""Addis Market""},{""S"":""Habesha""},{""S"":""online marketplace""},{""S"":""Addis Ababa""},{""S"":""Ethiopian community""}]","Addis Market Habesha Online Marketplace","marketplace","2025-12-19T17:53:35.600966+00:00","https://habeshalink.com/listings/addis-market-habesha-online-marketplace/"
"2000 Habesha Cultural Restaurant","events","Addis Ababa","+251 11 123 4567","Ethiopia","","","This is 3 to 5 hours traditional Ethiopian dinner event at one of the best traditional Ethiopian cultural restaurants in Addis Ababa.","{""formatted_address"":{""S"":""Namibia St, Addis Ababa, Ethiopia""},""location_type"":{""S"":""GEOMETRIC_CENTER""}}","ethiopian-cultural-dinner-in-addis-ababa-with-live-traditional-dance-show-addis-ababa-addis-ababa-cultural-b861687ac9a9a835","[]","","{""lat"":{""N"":""9.0013808""},""lon"":{""N"":""38.7815004""}}","","Ethiopian Cultural Dinner in Addis Ababa with LIVE Traditional Dance Show","","","","","openai_web_search+google_geocode","https://www.discovercity.com/tour/10131P4-ethiopian-cultural-dinner-in-addis-ababa-with-live-traditional-dance","","Addis Ababa","cultural","[{""S"":""Ethiopian""},{""S"":""cultural event""},{""S"":""Addis Ababa""}]","","event","2025-12-19T17:59:16.814183+00:00","https://www.discovercity.com/tour/10131P4-ethiopian-cultural-dinner-in-addis-ababa-with-live-traditional-dance"
"2000 Habesha Cultural Ethiopian Restaurant, Addis Ababa, Ethiopia","events","Addis Ababa","","Ethiopia","","","Traditional Ethiopian dinner event at 2000 Habesha Cultural Ethiopian Restaurant in Addis Ababa.","{""formatted_address"":{""S"":""Namibia St, Addis Ababa, Ethiopia""},""location_type"":{""S"":""GEOMETRIC_CENTER""}}","ethiopian-cultural-dinner-with-live-traditional-dance-show-addis-ababa-addis-ababa-cultural-5763f77bc52e60c3","[]","","{""lat"":{""N"":""9.0013808""},""lon"":{""N"":""38.7815004""}}","","Ethiopian Cultural Dinner with Live Traditional Dance Show","","","","","openai_web_search+google_geocode","https://www.aaa.com/tripcanvas/thing-to-do/ethiopian-cultural-dinner-in-addis-ababa-with-live-traditional-dance-show-10131P4","","Addis Ababa","cultural","[{""S"":""Ethiopian cultural dinner""},{""S"":""traditional dance show""},{""S"":""Addis Ababa""}]","","event","2025-12-19T17:59:09.821372+00:00","https://www.aaa.com/tripcanvas/thing-to-do/ethiopian-cultural-dinner-in-addis-ababa-with-live-traditional-dance-show-10131P4"
"Los Angeles, CA","events","Los Angeles","N/A","USA","","","An event where East African culture, community, and music collide is rewriting the Ethiopian-Eritrean diaspora story in Los Angeles.","{""formatted_address"":{""S"":""Los Angeles, CA, USA""},""location_type"":{""S"":""APPROXIMATE""}}","motherland-sounds-los-angeles-ca-concert-1e8934cd174097dc","[]","","{""lat"":{""N"":""34.0549076""},""lon"":{""N"":""-118.242643""}}","","Motherland Sounds","","","","","openai_web_search+google_geocode","https://www.okayafrica.com/motherland-sounds-ethiopia-eritrea-music/","","CA","concert","[{""S"":""Ethiopian""},{""S"":""Eritrean""},{""S"":""Habesha""},{""S"":""concert""},{""S"":""cultural event""},{""S"":""party""}]","","event","2025-12-19T17:59:45.101803+00:00","https://www.okayafrica.com/motherland-sounds-ethiopia-eritrea-music/"
